Business,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
Don Pistos,San Francisco,CA,Mexican,37.80078,-122.40784,2,1777,4
The Slanted Door,San Francisco,CA,Vietnamese,37.79618244,-122.3936968,3,5594,3.5
R&G Lounge,San Francisco,CA,Chinese,37.7941241,-122.4049374,2,4371,3.5
Four Barrel Coffee,San Francisco,CA,Coffee & Tea,37.76701695,-122.4218428,1,2069,4
Boba Guys,San Francisco,CA,Coffee & Tea,37.7899434,-122.4073063,1,1903,4
Garaje,San Francisco,CA,Mexican,37.78175295,-122.396122,2,1524,4.5
Deli Board,San Francisco,CA,Delis,37.7776248,-122.4070127,2,1289,4.5
Lers Ros,San Francisco,CA,Thai,37.784703,-122.417566,2,2168,4
Mensho Tokyo,San Francisco,CA,Ramen,37.78669085,-122.4143263,2,2078,4
Boudin Bakery & Cafe,San Francisco,CA,Bakeries,37.80841003,-122.4150794,2,3626,4
Isa Restaurant,San Francisco,CA,French,37.8001099,-122.43749,3,2018,4
Chantal Guillon Macarons,San Francisco,CA,Desserts,37.77667228,-122.4236196,2,1013,4.5
Dumpling Time,San Francisco,CA,Dim Sum,37.7697533,-122.4022546,2,1628,4
Delfina,San Francisco,CA,Italian,37.76131,-122.42431,3,2046,4
Submarine Center,San Francisco,CA,Sandwiches,37.7409,-122.46532,1,1168,4.5
Gracias Madre,San Francisco,CA,Vegan,37.761606,-122.419241,2,3151,4
Roli Roti Gourmet Rotisserie,San Francisco,CA,Sandwiches,37.79539824,-122.392534,2,1431,4.5
The Chairman Truck,San Francisco,CA,Food Trucks,37.78404,-122.4175,1,1424,4
Devil's Teeth Baking Company,San Francisco,CA,Bakeries,37.75318245,-122.5050075,1,1558,4.5
Roxie Food Center,San Francisco,CA,Grocery,37.7267302,-122.4414182,2,967,4.5
Hot Sauce and Panko,San Francisco,CA,Chicken Wings,37.79451652,-122.4178762,2,1087,4.5
Lovejoy's Tea Room,San Francisco,CA,British,37.74919,-122.42689,2,1178,4.5
Mymy,San Francisco,CA,Breakfast & Brunch,37.79094006,-122.4192695,2,1676,4
Tommy's Joynt,San Francisco,CA,American (Traditional),37.785547,-122.421814,2,2821,4
Spruce,San Francisco,CA,American (Traditional),37.787621,-122.452734,4,1875,4
Taqueria Cancún,San Francisco,CA,Mexican,37.76047,-122.41951,1,2010,4
Craftsman and Wolves,San Francisco,CA,Bakeries,37.7609695,-122.4218206,2,1490,4
Harris' Restaurant,San Francisco,CA,Steakhouses,37.79508,-122.42287,4,1822,4
Alexander's Steakhouse,San Francisco,CA,Steakhouses,37.7793,-122.39568,4,1683,4
The Front Porch,San Francisco,CA,Southern,37.7438,-122.422035,2,2747,4
Hot Cookie,San Francisco,CA,Bakeries,37.76227,-122.43494,1,1443,4
U :Dessert Story,San Francisco,CA,Desserts,37.76426421,-122.4305173,2,1136,4.5
DOSA on Fillmore,San Francisco,CA,Indian,37.78535,-122.43284,3,3006,4
Señor Sisig,San Francisco,CA,Filipino,37.79059,-122.40306,2,1545,4
Ryoko's,San Francisco,CA,Sushi Bars,37.78819878,-122.4120592,2,2893,4
Tommaso's,San Francisco,CA,Italian,37.797778,-122.405204,2,1579,4
Hard Knox Cafe,San Francisco,CA,Soul Food,37.75752,-122.38858,2,2134,4
The Ice Cream Bar,San Francisco,CA,Ice Cream & Frozen Yogurt,37.76643,-122.45033,2,1305,4
Benu,San Francisco,CA,American (New),37.785402,-122.399068,4,1040,4.5
Holy Gelato!,San Francisco,CA,Ice Cream & Frozen Yogurt,37.7624176,-122.4660266,1,1041,4.5
Seven Hills,San Francisco,CA,Italian,37.7953586,-122.4182303,3,995,4.5
The Original Ghirardelli Ice Cream & Chocolate Shop,San Francisco,CA,Ice Cream & Frozen Yogurt,37.80585,-122.42292,2,2498,4
Molinari Delicatessen,San Francisco,CA,Delis,37.79838,-122.40782,2,1082,4.5
Nick's Crispy Tacos,San Francisco,CA,Mexican,37.79607,-122.42196,1,3288,4
Bella Trattoria,San Francisco,CA,Italian,37.78148,-122.46085,2,1375,4
Matcha Cafe Maiko,San Francisco,CA,Coffee & Tea,37.785051,-122.432095,1,825,4.5
Sightglass Coffee,San Francisco,CA,Coffee & Tea,37.7768998,-122.4086371,2,1806,4
The Monk's Kettle,San Francisco,CA,Bars,37.76472909,-122.4229749,2,2161,4
B Star Bar,San Francisco,CA,Burmese,37.78298,-122.46065,2,1833,4
Acquerello,San Francisco,CA,Italian,37.79157,-122.4213296,4,1083,4.5
La Ciccia,San Francisco,CA,Seafood,37.7420027,-122.4266273,3,1072,4.5
The Bird,San Francisco,CA,Chicken Shop,37.78724,-122.39995,1,1553,4
Samovar Tea - Yerba Buena Gardens,San Francisco,CA,Tea Rooms,37.78417745,-122.4020686,2,2367,4
Woodhouse Fish,San Francisco,CA,Seafood,37.76766159,-122.4284421,2,1638,4
Andytown Coffee Roasters,San Francisco,CA,Coffee & Tea,37.756805,-122.502283,1,791,4.5
Firefly Restaurant,San Francisco,CA,American (New),37.751206,-122.438189,3,1448,4
La Fusión,San Francisco,CA,Latin American,37.79163575,-122.4036916,2,1100,4.5
Coqueta,San Francisco,CA,Spanish,37.7984672,-122.3966163,3,2016,4
AsiaSF,San Francisco,CA,Asian Fusion,37.77503,-122.41281,3,1808,4
Blackwood,San Francisco,CA,Thai,37.800591,-122.438832,2,1519,4
Sophie's Crepes,San Francisco,CA,Desserts,37.785048,-122.432093,1,1673,4
Quince,San Francisco,CA,French,37.7975,-122.40336,4,1452,4
DOSA on Valencia,San Francisco,CA,Indian,37.75709219,-122.4210593,2,2306,4
Pacific Catch,San Francisco,CA,Seafood,37.80057,-122.43652,2,1564,4
El Techo,San Francisco,CA,Latin American,37.75663073,-122.4190983,2,1792,4
Ebisu,San Francisco,CA,Sushi Bars,37.76445472,-122.466417,2,1763,4
Zuni Café,San Francisco,CA,Italian,37.7734826,-122.4216396,3,2700,4
Hillstone,San Francisco,CA,American (New),37.8057126,-122.4052805,3,2154,4
Tuba Authentic Turkish Restaurant,San Francisco,CA,Mediterranean,37.7548912,-122.4228895,2,994,4.5
Acme Bread Company,San Francisco,CA,Bakeries,37.79575246,-122.3936471,1,838,4.5
Blue Bottle Coffee,San Francisco,CA,Coffee & Tea,37.79604481,-122.39381,1,1512,4
Salt & Straw,San Francisco,CA,Ice Cream & Frozen Yogurt,37.78993,-122.43432,2,915,4.5
Pancho Villa Taqueria,San Francisco,CA,Mexican,37.7648138,-122.4212461,1,2535,4
Pizzetta 211,San Francisco,CA,Pizza,37.783684,-122.482974,2,1243,4.5
Frascati,San Francisco,CA,Italian,37.79835892,-122.4191055,3,1168,4.5
Blue Plate,San Francisco,CA,American (Traditional),37.74523,-122.42033,3,1409,4
Roka Akor - San Francisco,San Francisco,CA,Steakhouses,37.79653914,-122.4038505,4,1235,4
Hakkasan,San Francisco,CA,American (New),37.78771,-122.40385,3,1712,4
Tadich Grill,San Francisco,CA,Seafood,37.79343156,-122.3994682,3,2369,4
Il Casaro Pizzeria & Mozzarella Bar - North Beach Location,San Francisco,CA,Italian,37.79852,-122.40739,2,1087,4.5
Tadu Ethiopian Kitchen,San Francisco,CA,Ethiopian,37.7848298,-122.4142271,2,651,4.5
Hogwash,San Francisco,CA,Gastropubs,37.7891754,-122.4099292,2,1027,4.5
Leopold's,San Francisco,CA,German,37.79892,-122.42207,2,1036,4.5
The Taco Shop At Underdog's,San Francisco,CA,Sports Bars,37.76378,-122.47765,2,1813,4
Thorough Bread & Pastry,San Francisco,CA,Patisserie/Cake Shop,37.76651238,-122.4290349,1,835,4.5
Rusty's Southern,San Francisco,CA,Southern,37.7844,-122.41855,2,956,4.5
Akiko's Restaurant,San Francisco,CA,Sushi Bars,37.790582,-122.404653,3,1848,4
Parada 22,San Francisco,CA,Latin American,37.76929678,-122.4520651,2,1160,4
Farm : Table,San Francisco,CA,Coffee & Tea,37.78768,-122.414339,2,1742,4
Perbacco,San Francisco,CA,Italian,37.79345438,-122.3993366,3,1996,4
Waterbar,San Francisco,CA,Seafood,37.7900429,-122.3886065,3,2972,3.5
La Mediterranee,San Francisco,CA,Middle Eastern,37.7900665,-122.4338783,2,1490,4
Humphry Slocombe Ice Cream,San Francisco,CA,Ice Cream & Frozen Yogurt,37.795692,-122.393693,1,1096,4.5
XOX Truffles,San Francisco,CA,Chocolatiers & Shops,37.80175,-122.41206,1,622,4.5
Roam Artisan Burgers,San Francisco,CA,Burgers,37.79793151,-122.428534,2,1523,4
Cuisine of Nepal,San Francisco,CA,Himalayan/Nepalese,37.74097,-122.42318,2,529,4.5
Milkbomb Ice Cream,San Francisco,CA,Ice Cream & Frozen Yogurt,37.76475,-122.40077,1,596,4.5
Wonderful Dessert & Cafe,San Francisco,CA,Candy Stores,37.7633253,-122.479963,1,1248,4
Art's Cafe,San Francisco,CA,Diners,37.763926,-122.4657578,1,1089,4
Koo,San Francisco,CA,Japanese,37.76435855,-122.4624383,3,1097,4
Souvla,San Francisco,CA,Greek,37.77643,-122.425,2,1295,4
BIX,San Francisco,CA,American (Traditional),37.79686,-122.40291,3,1781,4
Golden Gate Fortune Cookies,San Francisco,CA,Bakeries,37.79577,-122.40725,1,926,4.5
Amélie,San Francisco,CA,Wine Bars,37.79312009,-122.4209065,2,1321,4
Trestle,San Francisco,CA,American (New),37.796127,-122.404495,3,835,4.5
The Alembic,San Francisco,CA,Bars,37.769371,-122.451176,2,1669,4
Dynamo Donut & Coffee,San Francisco,CA,Coffee & Tea,37.752971,-122.407676,1,1850,4
Limón Rotisserie,San Francisco,CA,Peruvian,37.76441574,-122.4221344,2,2473,3.5
Cafe Claude,San Francisco,CA,French,37.79032095,-122.4045239,3,1980,4
Taylor Street Coffee Shop,San Francisco,CA,Burgers,37.7856803,-122.4114826,2,1162,4
Colibri Mexican Bistro,San Francisco,CA,Mexican,37.78716065,-122.4106367,2,2318,4
Yummy Yummy,San Francisco,CA,Vietnamese,37.76368,-122.46879,2,1390,4
Liguria Bakery,San Francisco,CA,Bakeries,37.80153,-122.40916,1,707,4.5
Sushi Zone,San Francisco,CA,Sushi Bars,37.77116513,-122.4239152,2,1035,4
Izakaya Sozai,San Francisco,CA,Ramen,37.763879,-122.47413,2,2048,4
Park Tavern,San Francisco,CA,American (New),37.80113,-122.409,3,1548,4
5A5 Steak Lounge,San Francisco,CA,Steakhouses,37.7969972,-122.4000609,3,2162,4
Katana-Ya,San Francisco,CA,Sushi Bars,37.78726,-122.41037,2,4111,3.5
Mourad Restaurant,San Francisco,CA,Moroccan,37.78661,-122.4,3,999,4.5
Muracci's Japanese Curry & Grill,San Francisco,CA,Japanese Curry,37.791036,-122.404233,2,1695,4
Hops & Hominy,San Francisco,CA,Southern,37.789312,-122.405731,2,2073,4
Kin Khao,San Francisco,CA,Thai,37.78522788,-122.4093481,2,2006,4
Honey Honey Cafe and Crepery,San Francisco,CA,Breakfast & Brunch,37.787835,-122.41152,2,2475,4
Ruth's Chris Steak House,San Francisco,CA,Steakhouses,37.7905481,-122.4226117,3,2062,4
Fresh Brew Coffee,San Francisco,CA,Coffee & Tea,37.79001,-122.41177,1,556,4.5
Lapisara Eatery,San Francisco,CA,Breakfast & Brunch,37.7878344,-122.4131853,2,608,4.5
Roy's Restaurant,San Francisco,CA,Seafood,37.7881,-122.3991,3,2258,4
Truly Mediterranean,San Francisco,CA,Mediterranean,37.764755,-122.422263,1,1177,4
Cockscomb,San Francisco,CA,Bars,37.77865,-122.39733,3,1199,4
Stella Pastry & Cafe,San Francisco,CA,Bakeries,37.79918,-122.40828,1,1291,4
Lime Tree Southeast Asian Kitchen,San Francisco,CA,Singaporean,37.764337,-122.462736,2,1482,4
Skool,San Francisco,CA,Seafood,37.7685097,-122.4021363,2,1718,4
North India Restaurant,San Francisco,CA,Indian,37.78778912,-122.3993057,2,1582,4
Hai Ky Noodles,San Francisco,CA,Chinese,37.7840538,-122.4179535,1,917,4.5
Saru Sushi Bar,San Francisco,CA,Sushi Bars,37.751706,-122.4288283,3,818,4.5
SusieCakes,San Francisco,CA,Bakeries,37.80045,-122.4381,2,1122,4
Bistro Central Parc,San Francisco,CA,French,37.775023,-122.44427,3,924,4.5
Betty Lou's Seafood & Grill,San Francisco,CA,Seafood,37.79827248,-122.4070575,2,692,4.5
Rich Table,San Francisco,CA,American (New),37.77485,-122.42284,3,1170,4
Aha Fresh,San Francisco,CA,Breakfast & Brunch,37.751351,-122.432183,2,982,4
Brenda's Meat & Three,San Francisco,CA,Soul Food,37.77814892,-122.4385513,2,1038,4
Fino Ristorante & Bar,San Francisco,CA,Italian,37.78798807,-122.4122871,3,1141,4
Home,San Francisco,CA,Coffee & Tea,37.782323,-122.480993,2,576,4.5
Lazy Bear,San Francisco,CA,American (New),37.76041,-122.41969,4,577,4.5
Swensen's Ice Cream,San Francisco,CA,Ice Cream & Frozen Yogurt,37.799191,-122.419276,1,1033,4.5
Loving Cup,San Francisco,CA,Desserts,37.798653,-122.422157,1,1081,4
Topsy's Bar,San Francisco,CA,Cocktail Bars,37.7905828,-122.4038175,2,659,4.5
Off the Grid: Fort Mason Center,San Francisco,CA,Food Trucks,37.805503,-122.431801,2,1012,4
Bobo's,San Francisco,CA,Steakhouses,37.80140888,-122.4257441,3,2061,4
Sushi Bistro,San Francisco,CA,Sushi Bars,37.77701,-122.4635,2,1520,4
Zushi Puzzle,San Francisco,CA,Sushi Bars,37.80052,-122.43308,3,1333,4
Trattoria Contadina,San Francisco,CA,Italian,37.80018,-122.41228,2,1335,4
Miette Patisserie,San Francisco,CA,Bakeries,37.79601,-122.393979,2,1548,4
Japanese Tea Garden,San Francisco,CA,Tea Rooms,37.77008973,-122.4703147,1,1373,4
Tataki,San Francisco,CA,Sushi Bars,37.78783905,-122.4412277,2,1258,4
Han Il Kwan,San Francisco,CA,Korean,37.77675,-122.4783,2,1565,4
The Sentinel,San Francisco,CA,Sandwiches,37.78829778,-122.4013724,1,1291,4
The Italian Homemade Company,San Francisco,CA,Italian,37.79742,-122.43097,2,861,4.5
Yasukochi's Sweet Stop,San Francisco,CA,Bakeries,37.78673,-122.42978,2,564,4.5
Starbelly,San Francisco,CA,Comfort Food,37.764096,-122.432574,2,1789,4
Broken Record,San Francisco,CA,Dive Bars,37.71426,-122.437,1,1236,4
Boiling Hot Pot,San Francisco,CA,Hot Pot,37.7806682,-122.4786992,2,831,4.5
Pakwan Restaurant - 16th Street,San Francisco,CA,Indian,37.7649157,-122.4237774,2,1714,4
Flour + Water,San Francisco,CA,Italian,37.75892,-122.41231,3,2248,3.5
Old Skool Cafe,San Francisco,CA,Soul Food,37.734266,-122.390515,2,545,4.5
Nopalito,San Francisco,CA,Mexican,37.7734353,-122.438993,2,1840,4
Marugame Udon,San Francisco,CA,Japanese,37.72856,-122.47688,2,1515,4
Salt & Straw,San Francisco,CA,Ice Cream & Frozen Yogurt,37.7766412,-122.4259532,2,476,4.5
Hinodeya Ramen Bar,San Francisco,CA,Ramen,37.78615746,-122.4300571,2,965,4
Super Duper Burgers,San Francisco,CA,Burgers,37.7846045,-122.4038825,2,1328,4
Just For You Cafe,San Francisco,CA,American (Traditional),37.75795851,-122.388854,2,1398,4
Crepevine Restaurant,San Francisco,CA,Creperies,37.76435,-122.46467,2,1555,4
KitTea Cat Cafe,San Francisco,CA,Themed Cafes,37.7739346,-122.4222081,2,703,4.5
Polly Ann Ice Cream,San Francisco,CA,Ice Cream & Frozen Yogurt,37.753435,-122.497758,1,1233,4
Papalote Mexican Grill,San Francisco,CA,Mexican,37.75194,-122.42094,2,2178,3.5
Dragon Beaux,San Francisco,CA,Seafood,37.7805,-122.4807,2,1465,4
House Of Pancakes,San Francisco,CA,Chinese,37.742904,-122.476349,1,928,4
Pho Huynh Hiep 2 - Kevin's Noodle House,San Francisco,CA,Vietnamese,37.763338,-122.477795,1,1610,4
Boba Guys,San Francisco,CA,Bubble Tea,37.75994,-122.42112,1,1431,4
The Little Chihuahua,San Francisco,CA,Mexican,37.7720399,-122.43688,2,1459,4
Universal Cafe,San Francisco,CA,Breakfast & Brunch,37.76062,-122.41064,2,1339,4
Basa Seafood Express,San Francisco,CA,Seafood,37.75276,-122.41338,1,632,4.5
Cordon Bleu,San Francisco,CA,Vietnamese,37.7907203,-122.4205111,1,1053,4
Delancey Street Restaurant,San Francisco,CA,American (Traditional),37.78435697,-122.3884369,2,1562,4
The Stinking Rose,San Francisco,CA,Italian,37.7982486,-122.4073904,2,3907,3.5
Cinderella Bakery & Cafe,San Francisco,CA,Bakeries,37.77745,-122.46374,2,933,4
The Flying Falafel,San Francisco,CA,Falafel,37.7812488,-122.411304,1,884,4.5
Franchino,San Francisco,CA,Italian,37.79833,-122.40757,2,1096,4
Gialina Pizzeria,San Francisco,CA,Pizza,37.73405,-122.43424,2,1095,4
Sushirrito,San Francisco,CA,Japanese,37.79022418,-122.4037662,2,1493,4
Marnee Thai,San Francisco,CA,Thai,37.76513,-122.46671,2,1620,4
Yamo,San Francisco,CA,Burmese,37.76194633,-122.4197646,1,1949,3.5
Nopalito,San Francisco,CA,Mexican,37.76540958,-122.4662815,2,1294,4
Old Jerusalem Restaurant,San Francisco,CA,Middle Eastern,37.7495007,-122.4184218,2,1051,4
Box Kitchen,San Francisco,CA,Food Stands,37.78115108,-122.4063651,2,791,4.5
Outerlands,San Francisco,CA,Breakfast & Brunch,37.76025391,-122.5050201,2,2234,3.5
Ritual Coffee Roasters,San Francisco,CA,Coffee & Tea,37.75642,-122.42137,2,1897,4
Yank Sing,San Francisco,CA,Dim Sum,37.79272241,-122.3931266,3,2531,3.5
Baonecci Ristorante,San Francisco,CA,Pizza,37.799824,-122.407833,2,954,4.5
Amber India,San Francisco,CA,Indian,37.78580903,-122.4045396,3,2053,4
Dumpling Kitchen,San Francisco,CA,Chinese,37.7423,-122.48701,2,1453,4
Chez Maman West,San Francisco,CA,French,37.776988,-122.423164,2,1097,4
Crossroads Cafe,San Francisco,CA,Coffee & Tea,37.7831325,-122.3890356,1,970,4
Stonemill Matcha,San Francisco,CA,Cafes,37.76401,-122.4215,2,720,4
Kabuto Restaurant,San Francisco,CA,Sushi Bars,37.78031,-122.47441,3,1014,4
