id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
twt864sd8iheVma7f0Re5w,bridge-turkish-and-mediterranean-grill-highland-park-2,Bridge Turkish & Mediterranean Grill,https://s3-media2.fl.yelpcdn.com/bphoto/Yck879sF5d0UYtIvWkZsjg/o.jpg,False,https://www.yelp.com/biz/bridge-turkish-and-mediterranean-grill-highland-park-2?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,154,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.0,"{'latitude': 40.49996, 'longitude': -74.4278999}","['pickup', 'delivery']",$$,"{'address1': '315 Raritan Ave', 'address2': '', 'address3': '', 'city': 'Highland Park', 'zip_code': '08904', 'country': 'US', 'state': 'NJ', 'display_address': ['315 Raritan Ave', 'Highland Park, NJ 08904']}",+17324189000,(732) 418-9000,1690.8424362616508
Xp0__IEyi-5ZJc5hCXv1RQ,chai-chenak-new-brunswick,Chai Chenak,https://s3-media1.fl.yelpcdn.com/bphoto/5sIoUQyZWdHXwp4QtT69vA/o.jpg,False,https://www.yelp.com/biz/chai-chenak-new-brunswick?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,93,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'pakistani', 'title': 'Pakistani'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.494626, 'longitude': -74.443543}",[],,"{'address1': '349A George St', 'address2': None, 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['349A George St', 'New Brunswick, NJ 08901']}",+17322462600,(732) 246-2600,719.2977081452547
IhTkp4rmZBeail8VDfi3JA,little-sheep-mongolian-hot-pot-edison,Little Sheep Mongolian Hot Pot,https://s3-media1.fl.yelpcdn.com/bphoto/QOlSYnSZw_8iVR5SU7qmIw/o.jpg,False,https://www.yelp.com/biz/little-sheep-mongolian-hot-pot-edison?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,602,"[{'alias': 'mongolian', 'title': 'Mongolian'}, {'alias': 'hotpot', 'title': 'Hot Pot'}, {'alias': 'chinese', 'title': 'Chinese'}]",4.0,"{'latitude': 40.512718928299, 'longitude': -74.4080269330231}",[],$$,"{'address1': '1737 Rte 27', 'address2': None, 'address3': '', 'city': 'Edison', 'zip_code': '08817', 'country': 'US', 'state': 'NJ', 'display_address': ['1737 Rte 27', 'Edison, NJ 08817']}",+17326265991,(732) 626-5991,3876.2618634284604
jyNryxAdX4AC__6vRK8aBA,king-of-gyro-new-brunswick-2,King Of Gyro,https://s3-media2.fl.yelpcdn.com/bphoto/9BVIdcghd_b-1mBj8lnPRA/o.jpg,False,https://www.yelp.com/biz/king-of-gyro-new-brunswick-2?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,52,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"{'latitude': 40.4990135, 'longitude': -74.4515216}","['pickup', 'delivery']",$,"{'address1': '105 Easton Ave', 'address2': '', 'address3': None, 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['105 Easton Ave', 'New Brunswick, NJ 08901']}",+17329643400,(732) 964-3400,1480.640837823044
3qhaTcmTAbXusKf0fJkmVQ,thai-noodle-new-brunswick,Thai Noodle,https://s3-media2.fl.yelpcdn.com/bphoto/Kr3Rj8b8TqLIfKa9qytRUA/o.jpg,False,https://www.yelp.com/biz/thai-noodle-new-brunswick?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,138,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]",3.5,"{'latitude': 40.49982, 'longitude': -74.45463}",[],$,"{'address1': '174 Easton Ave', 'address2': '', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['174 Easton Ave', 'New Brunswick, NJ 08901']}",+17322476938,(732) 247-6938,1716.2070871684564
8xKGkpKYvlJ0rI5Kh-vq9A,r-u-hungry-new-brunswick,R U Hungry,https://s3-media3.fl.yelpcdn.com/bphoto/fiVh9ZVMZ5-I3t8EQHONQg/o.jpg,False,https://www.yelp.com/biz/r-u-hungry-new-brunswick?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,156,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}]",3.5,"{'latitude': 40.5040610568158, 'longitude': -74.4523160416381}","['pickup', 'delivery']",$,"{'address1': '95 Hamilton St', 'address2': '', 'address3': None, 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['95 Hamilton St', 'New Brunswick, NJ 08901']}",+17322462177,(732) 246-2177,1982.4716543143606
CiRMhrr8wNbxcLWKRmDwhg,barca-city-cafe-and-bar-new-brunswick-3,Barca City Cafe & Bar,https://s3-media3.fl.yelpcdn.com/bphoto/zKfFOh_25-L0T0JgpMGi3g/o.jpg,False,https://www.yelp.com/biz/barca-city-cafe-and-bar-new-brunswick-3?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,120,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'desserts', 'title': 'Desserts'}]",3.5,"{'latitude': 40.49808, 'longitude': -74.4488}","['pickup', 'delivery']",$$,"{'address1': '47 Easton Ave', 'address2': '', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['47 Easton Ave', 'New Brunswick, NJ 08901']}",+17326401155,(732) 640-1155,1259.7967938610202
Ta7WxDqIYetopbQhPj_ixQ,truly-yogurt-new-brunswick-2,Truly Yogurt,https://s3-media4.fl.yelpcdn.com/bphoto/D9d10HS0BLC6LayqhkQytA/o.jpg,False,https://www.yelp.com/biz/truly-yogurt-new-brunswick-2?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,104,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",3.5,"{'latitude': 40.4974224308867, 'longitude': -74.4481585855476}",[],$,"{'address1': '38 Easton Ave', 'address2': '', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08902', 'country': 'US', 'state': 'NJ', 'display_address': ['38 Easton Ave', 'New Brunswick, NJ 08902']}",+17325432555,(732) 543-2555,1167.488871492111
ASu4enVadGH_k06ESCxlAA,evelyns-restaurant-new-brunswick,Evelyn's Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/Xxhqj9QXG58YtInLR_i0Uw/o.jpg,False,https://www.yelp.com/biz/evelyns-restaurant-new-brunswick?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,162,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",3.5,"{'latitude': 40.49806, 'longitude': -74.44868}",['pickup'],$$,"{'address1': '45 Easton Ave', 'address2': '', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['45 Easton Ave', 'New Brunswick, NJ 08901']}",+17322468792,(732) 246-8792,1246.1598705399638
sDFz3CorqCqxTL9_HFPRMg,white-rose-burgers-highland-park,White Rose Burgers,https://s3-media3.fl.yelpcdn.com/bphoto/kxXdmmHfDtTyiJNIq25aeg/o.jpg,False,https://www.yelp.com/biz/white-rose-burgers-highland-park?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,207,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 40.502314, 'longitude': -74.415314}",['delivery'],$,"{'address1': '154 Woodbridge Ave', 'address2': '', 'address3': '', 'city': 'Highland Park', 'zip_code': '08904', 'country': 'US', 'state': 'NJ', 'display_address': ['154 Woodbridge Ave', 'Highland Park, NJ 08904']}",+17327771881,(732) 777-1881,2659.4825811116693
5DTf4T_nBcg5vZ6qDRMlow,the-sweet-spot-highland-park-2,The Sweet Spot,https://s3-media2.fl.yelpcdn.com/bphoto/m-cAD5xEJ6kXG11nJLvz7g/o.jpg,False,https://www.yelp.com/biz/the-sweet-spot-highland-park-2?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,59,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'shavedice', 'title': 'Shaved Ice'}]",4.5,"{'latitude': 40.49975433, 'longitude': -74.42522917}",[],,"{'address1': '416 Raritan Ave', 'address2': None, 'address3': '', 'city': 'Highland Park', 'zip_code': '08904', 'country': 'US', 'state': 'NJ', 'display_address': ['416 Raritan Ave', 'Highland Park, NJ 08904']}",+17323259080,(732) 325-9080,1835.34460954175
4b8rxMf3fYPS0aWfV07_eg,bayleaf-grill-highland-park,Bayleaf Grill,https://s3-media3.fl.yelpcdn.com/bphoto/Hd2KAA2sLuV8iMgx_xHdHg/o.jpg,False,https://www.yelp.com/biz/bayleaf-grill-highland-park?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,71,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'catering', 'title': 'Caterers'}]",4.5,"{'latitude': 40.4992091, 'longitude': -74.4272637}","['pickup', 'delivery']",$$,"{'address1': '314 Raritan Ave', 'address2': None, 'address3': '', 'city': 'Highland Park', 'zip_code': '08904', 'country': 'US', 'state': 'NJ', 'display_address': ['314 Raritan Ave', 'Highland Park, NJ 08904']}",+17327070777,(732) 707-0777,1663.097239752009
gkm7HP_31Eq4_2SRPio-Yw,cinco-de-mayo-new-brunswick,Cinco De Mayo,https://s3-media1.fl.yelpcdn.com/bphoto/PIUcxsgfJUR5nAQIUbAZ9g/o.jpg,False,https://www.yelp.com/biz/cinco-de-mayo-new-brunswick?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,123,"[{'alias': 'mexican', 'title': 'Mexican'}]",3.5,"{'latitude': 40.49081, 'longitude': -74.45695}","['pickup', 'delivery']",$,"{'address1': '206 French St', 'address2': '', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['206 French St', 'New Brunswick, NJ 08901']}",+17322141551,(732) 214-1551,1387.6404869926055
D_2TkK2Gb_TSCaz2ujgP0w,krispy-pizza-new-brunswick-2,Krispy Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/IQh1w4F_5yWRdj63Tu4Qgw/o.jpg,False,https://www.yelp.com/biz/krispy-pizza-new-brunswick-2?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,66,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 40.4995944, 'longitude': -74.4483752}","['pickup', 'delivery']",$,"{'address1': '50 College Ave', 'address2': '', 'address3': 'The Yard at Rutgers University', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['50 College Ave', 'The Yard at Rutgers University', 'New Brunswick, NJ 08901']}",+17326583800,(732) 658-3800,1388.8332904150448
qkETtvhJ3dGaNznv-rmOxw,olive-branch-bar-and-restaurant-new-brunswick,Olive Branch Bar & Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/Rxh33534QqkZ0TEE2Rdy2A/o.jpg,False,https://www.yelp.com/biz/olive-branch-bar-and-restaurant-new-brunswick?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,67,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 40.5014695619779, 'longitude': -74.4529374721161}",[],$,"{'address1': '37 Bartlett St', 'address2': '', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['37 Bartlett St', 'New Brunswick, NJ 08901']}",+17327290203,(732) 729-0203,1765.649117558214
5eE-bajaJYjnOzRmRrOKww,el-sol-mexican-restaurant-highland-park,El Sol Mexican Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/NbvgIWpQT8zr3C9EPsBJLQ/o.jpg,False,https://www.yelp.com/biz/el-sol-mexican-restaurant-highland-park?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,149,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 40.499442, 'longitude': -74.427484}",['delivery'],$$,"{'address1': '304 Raritan Ave', 'address2': '', 'address3': '', 'city': 'Highland Park', 'zip_code': '08904', 'country': 'US', 'state': 'NJ', 'display_address': ['304 Raritan Ave', 'Highland Park, NJ 08904']}",+17324350191,(732) 435-0191,1669.6306908545291
uOX6pg8h9Rrc7gU8ldwPYQ,daniels-pizzeria-new-brunswick,Daniel's Pizzeria,https://s3-media4.fl.yelpcdn.com/bphoto/y6DJ29Zm1jolqdG1b0CDlA/o.jpg,False,https://www.yelp.com/biz/daniels-pizzeria-new-brunswick?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,45,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 40.5004267721421, 'longitude': -74.4558842193941}",['delivery'],$,"{'address1': '204 Easton Ave', 'address2': None, 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['204 Easton Ave', 'New Brunswick, NJ 08901']}",+17325450186,(732) 545-0186,1833.746382997383
Ox8vk58P0bx_Ce5p57RUUA,h-mart-edison-edison,H Mart - Edison,https://s3-media3.fl.yelpcdn.com/bphoto/0LVcoJMsNozft4GbZBwToA/o.jpg,False,https://www.yelp.com/biz/h-mart-edison-edison?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,277,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'food_court', 'title': 'Food Court'}]",4.0,"{'latitude': 40.5134773016362, 'longitude': -74.4078137789083}",[],$$,"{'address1': '1761 Route 27 Lincoln Hwy.', 'address2': '', 'address3': '', 'city': 'Edison', 'zip_code': '08817', 'country': 'US', 'state': 'NJ', 'display_address': ['1761 Route 27 Lincoln Hwy.', 'Edison, NJ 08817']}",+17323391530,(732) 339-1530,3948.159089708912
iT3Xi3P9ICbbaAbCeegQXQ,edo-takeout-new-brunswick,Edo Takeout,https://s3-media2.fl.yelpcdn.com/bphoto/UiEqlMvEaVBiQTtz3w902Q/o.jpg,False,https://www.yelp.com/biz/edo-takeout-new-brunswick?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,75,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",3.5,"{'latitude': 40.49774, 'longitude': -74.44974}",['delivery'],$,"{'address1': '16 Condict St', 'address2': None, 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['16 Condict St', 'New Brunswick, NJ 08901']}",+17325140700,(732) 514-0700,1275.6477610841505
qtqaF4XW8Cjg1rYW8ufS9g,cool-runnins-caribbean-cuisines-new-brunswick,Cool Runnin's Caribbean Cuisines,https://s3-media4.fl.yelpcdn.com/bphoto/daEgpgGA1UsHiI2K_LdHnQ/o.jpg,False,https://www.yelp.com/biz/cool-runnins-caribbean-cuisines-new-brunswick?adjust_creative=q5lmK9zVOh6EcW2HNIUbhA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=q5lmK9zVOh6EcW2HNIUbhA,83,"[{'alias': 'caribbean', 'title': 'Caribbean'}]",3.5,"{'latitude': 40.497600462255, 'longitude': -74.4479312477292}",[],$,"{'address1': '25 Easton Ave', 'address2': 'Ste A', 'address3': '', 'city': 'New Brunswick', 'zip_code': '08901', 'country': 'US', 'state': 'NJ', 'display_address': ['25 Easton Ave', 'Ste A', 'New Brunswick, NJ 08901']}",+17322462800,(732) 246-2800,1174.6526621804353
